train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.8M
epoch 186/2000, train: loss=0.0319, val: psnr=30.1329, 1.6m 4.8h/51.3h
epoch 187/2000, train: loss=0.0320, val: psnr=30.1506, 1.5m 4.8h/51.3h
epoch 188/2000, train: loss=0.0325, val: psnr=30.0796, 1.5m 4.8h/51.3h
epoch 189/2000, train: loss=0.0325, val: psnr=30.1965, 1.5m 4.8h/51.3h
epoch 190/2000, train: loss=0.0323, val: psnr=30.1246, 1.5m 4.9h/51.3h
epoch 191/2000, train: loss=0.0321, val: psnr=30.0150, 1.5m 4.9h/51.3h
epoch 192/2000, train: loss=0.0319, val: psnr=30.2274, 1.5m 4.9h/51.3h
epoch 193/2000, train: loss=0.0321, val: psnr=30.5100, 1.5m 4.9h/51.3h
epoch 194/2000, train: loss=0.0319, val: psnr=29.8691, 1.6m 5.0h/51.3h
epoch 195/2000, train: loss=0.0319, val: psnr=29.7465, 1.6m 5.0h/51.3h
epoch 196/2000, train: loss=0.0324, val: psnr=30.0609, 1.6m 5.0h/51.3h
epoch 197/2000, train: loss=0.0322, val: psnr=30.1476, 1.5m 5.1h/51.3h
epoch 198/2000, train: loss=0.0320, val: psnr=29.8973, 1.5m 5.1h/51.3h
epoch 199/2000, train: loss=0.0321, val: psnr=30.0982, 1.5m 5.1h/51.3h
epoch 200/2000, train: loss=0.0318, val: psnr=29.9901, 1.6m 5.1h/51.3h
epoch 201/2000, train: loss=0.0318, val: psnr=30.0170, 1.6m 5.2h/51.3h
epoch 202/2000, train: loss=0.0317, val: psnr=29.9272, 1.5m 5.2h/51.3h
epoch 203/2000, train: loss=0.0320, val: psnr=30.1527, 1.6m 5.2h/51.3h
epoch 204/2000, train: loss=0.0317, val: psnr=30.1928, 1.5m 5.2h/51.3h
epoch 205/2000, train: loss=0.0322, val: psnr=30.4624, 1.6m 5.3h/51.3h
epoch 206/2000, train: loss=0.0317, val: psnr=30.2175, 1.6m 5.3h/51.3h
epoch 207/2000, train: loss=0.0311, val: psnr=30.1487, 1.5m 5.3h/51.3h
epoch 208/2000, train: loss=0.0317, val: psnr=30.2282, 1.6m 5.3h/51.3h
epoch 209/2000, train: loss=0.0316, val: psnr=30.5820, 1.6m 5.4h/51.3h
epoch 210/2000, train: loss=0.0315, val: psnr=30.1436, 1.6m 5.4h/51.3h
epoch 211/2000, train: loss=0.0318, val: psnr=30.0409, 1.6m 5.4h/51.3h
epoch 212/2000, train: loss=0.0315, val: psnr=30.0096, 1.6m 5.4h/51.3h
epoch 213/2000, train: loss=0.0313, val: psnr=30.3736, 1.5m 5.5h/51.3h
epoch 214/2000, train: loss=0.0315, val: psnr=30.0248, 1.6m 5.5h/51.3h
epoch 215/2000, train: loss=0.0314, val: psnr=29.7338, 1.5m 5.5h/51.3h
epoch 216/2000, train: loss=0.0314, val: psnr=30.1096, 1.6m 5.5h/51.3h
epoch 217/2000, train: loss=0.0315, val: psnr=29.8393, 1.6m 5.6h/51.3h
epoch 218/2000, train: loss=0.0317, val: psnr=30.1070, 1.6m 5.6h/51.3h
epoch 219/2000, train: loss=0.0320, val: psnr=30.0499, 1.6m 5.6h/51.3h
epoch 220/2000, train: loss=0.0315, val: psnr=29.9366, 1.6m 5.6h/51.3h
epoch 221/2000, train: loss=0.0315, val: psnr=30.0290, 1.5m 5.7h/51.3h
epoch 222/2000, train: loss=0.0317, val: psnr=30.2394, 1.5m 5.7h/51.3h
epoch 223/2000, train: loss=0.0319, val: psnr=30.6131, 1.5m 5.7h/51.3h
epoch 224/2000, train: loss=0.0323, val: psnr=30.2775, 1.6m 5.7h/51.3h
epoch 225/2000, train: loss=0.0317, val: psnr=29.9820, 1.5m 5.8h/51.3h
epoch 226/2000, train: loss=0.0311, val: psnr=29.9024, 1.5m 5.8h/51.3h
epoch 227/2000, train: loss=0.0316, val: psnr=30.3300, 1.6m 5.8h/51.3h
epoch 228/2000, train: loss=0.0317, val: psnr=30.2442, 1.6m 5.9h/51.3h
epoch 229/2000, train: loss=0.0312, val: psnr=30.4569, 1.5m 5.9h/51.3h
epoch 230/2000, train: loss=0.0314, val: psnr=30.1179, 1.5m 5.9h/51.3h
epoch 231/2000, train: loss=0.0316, val: psnr=30.3801, 1.6m 5.9h/51.3h
epoch 232/2000, train: loss=0.0316, val: psnr=30.1347, 1.6m 6.0h/51.3h
epoch 233/2000, train: loss=0.0311, val: psnr=30.1059, 1.5m 6.0h/51.3h
epoch 234/2000, train: loss=0.0315, val: psnr=30.3196, 1.5m 6.0h/51.3h
epoch 235/2000, train: loss=0.0315, val: psnr=29.6869, 1.5m 6.0h/51.3h
epoch 236/2000, train: loss=0.0318, val: psnr=30.1542, 1.6m 6.1h/51.4h
epoch 237/2000, train: loss=0.0314, val: psnr=29.7781, 1.6m 6.1h/51.4h
epoch 238/2000, train: loss=0.0316, val: psnr=30.0923, 1.5m 6.1h/51.4h
epoch 239/2000, train: loss=0.0320, val: psnr=30.1870, 1.5m 6.1h/51.4h
epoch 240/2000, train: loss=0.0315, val: psnr=29.7649, 1.5m 6.2h/51.4h
epoch 241/2000, train: loss=0.0317, val: psnr=29.9779, 1.6m 6.2h/51.4h
epoch 242/2000, train: loss=0.0326, val: psnr=29.4021, 1.6m 6.2h/51.4h
epoch 243/2000, train: loss=0.0313, val: psnr=29.9673, 1.5m 6.2h/51.4h
epoch 244/2000, train: loss=0.0317, val: psnr=29.8493, 1.6m 6.3h/51.4h
epoch 245/2000, train: loss=0.0319, val: psnr=30.4310, 1.6m 6.3h/51.4h
epoch 246/2000, train: loss=0.0315, val: psnr=29.9555, 1.6m 6.3h/51.4h
epoch 247/2000, train: loss=0.0316, val: psnr=30.0809, 1.6m 6.3h/51.4h
epoch 248/2000, train: loss=0.0316, val: psnr=30.0634, 1.6m 6.4h/51.4h
epoch 249/2000, train: loss=0.0313, val: psnr=30.2686, 1.6m 6.4h/51.4h
epoch 250/2000, train: loss=0.0316, val: psnr=29.9328, 1.6m 6.4h/51.4h
